gene	Mock.Col0.rna	ABA.Col0.rna	Mock.g7g8.rna	ABA.g7g8.rna	Mock_Col0.ribo	ABA_Col0.ribo	Mock_g7g8.ribo	ABA_g7g8.ribo
AT1G31350	8.437398195	7.410795903	6.656820034	5.763346274	2.994139172	2.627296654	6.182614613	3.068284595
AT1G55030	0	0	0.025489139	0.18899112	0	0.356969381	0.033261541	0.289098186
AT1G18410	0.168646946	0.128381671	0.206319331	0.142060794	0.02732611	0	0.119147862	0.084439938
AT1G48410	39.62596064	35.48770735	36.51585271	38.41092043	43.57196606	38.34877289	42.44899288	38.13183524
AT1G53030	3.336288653	3.512889579	1.460624643	2.952287768	3.685558677	4.331824848	4.799095912	6.983252467
AT1G58380	108.6199162	50.40463847	84.55802508	63.43051696	31.22094071	19.82841604	39.99861879	17.71889507
AT1G76520	11.74974503	7.290310149	14.9915988	10.50101407	5.621230573	4.741837109	4.743008669	3.139213521
AT1G77682	0	0	0	0	0	0	0	0
AT1G77620	4.777640393	4.074041297	4.127114949	3.678617743	2.822304096	2.573968137	2.616757752	1.868325708
AT1G30730	1.597734863	1.263837941	1.629708197	1.502130879	2.158994393	2.912004795	3.745470392	2.666361918
AT1G76460	9.175260983	9.373412858	8.366106698	10.89819567	1.769421479	1.38282166	1.523980962	2.004929731
AT1G11475	4.70694003	0.996306564	3.429053566	2.237454452	49.09603376	39.838109	51.95705663	33.01522588
AT1G04010	2.505606672	2.227008741	2.382223721	2.213364675	0.916643815	0.707303358	0.802431243	0.988177446
AT1G29570	0	0	0	0	0	0	0	0
AT1G08890	3.627138244	8.722845873	4.250346947	9.934311668	6.335065513	15.49143732	5.168453253	13.65523014
AT1G68238	46.57807204	16.71221542	37.51607031	26.9289162	42.75306476	44.84216956	97.95034445	44.38739975
AT1G16680	9.707769302	7.552716596	7.456415798	7.151893129	1.993241208	2.768965609	2.44405362	1.551620458
AT1G29860	0.148441796	0.271910132	0.070914425	0.195029094	0.255156907	0.853268469	0.345719125	0.514721004
AT1G75290	1.168868961	1.344391644	1.431442443	1.507771881	1.783343017	0.704239578	1.459480047	1.012776914
AT1G24050	60.87802415	41.95379663	50.36076711	52.69780264	32.48697932	23.6625199	36.71997463	27.9452954
AT1G32127	6.783253742	5.327368379	5.123962727	6.158676301	2.58435761	5.246723961	2.616015277	4.502078476
